Bereich,Unterbereich,Teilbereich31,Teilbereich,Menge,Jahr,lfdNr
Innere Verwaltung, Gleichstellung von Frau und Mann,12,Versorgungsaufwendungen,20497.29,2010,7275
Innere Verwaltung, Gleichstellung von Frau und Mann,13,Aufwendungen f.Sach-/Dienstleistungen,16190.10,2010,7276
Innere Verwaltung, Gleichstellung von Frau und Mann,14,Bilanzielle Abschreibungen,1987.04,2010,7277
Innere Verwaltung, Gleichstellung von Frau und Mann,15,Transferaufwendungen,276080.00,2010,7278
Innere Verwaltung, Gleichstellung von Frau und Mann,16,Sonstige ordentliche Aufwendungen,36810.71,2010,7279
Innere Verwaltung, Gleichstellung von Frau und Mann,17,Ordentliche Aufwendungen,608449.87,2010,7280
Innere Verwaltung, Gleichstellung von Frau und Mann,18,Ordentliches Ergebnis,592443.57,2010,7281
Innere Verwaltung, Gleichstellung von Frau und Mann,22,Ergebnis lfd. Verwaltungstätigkeit,592443.57,2010,7282
Innere Verwaltung, Gleichstellung von Frau und Mann,26,Ergebnis vor int.Leistungsbeziehungen,592443.57,2010,7283
Innere Verwaltung, Gleichstellung von Frau und Mann,28,Aufwend. aus int.Leistungsbeziehungen,24139.92,2010,7284
Innere Verwaltung, Gleichstellung von Frau und Mann,Interne,Leistungsbeziehungen,24139.92,Bar,7285
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,6,Kostenerstattungen und Kostenumlagen,-117968.00,2010,7287
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,10,Ordentliche Erträge,-117968.00,2010,7288
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,11,Personalaufwendungen,674279.60,2010,7289
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,12,Versorgungsaufwendungen,39040.26,2010,7290
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,13,Aufwendungen f.Sach-/Dienstleistungen,74112.67,2010,7291
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,14,Bilanzielle Abschreibungen,2103.77,2010,7292
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,15,Transferaufwendungen,0.00,2010,7293
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,16,Sonstige ordentliche Aufwendungen,18827.09,2010,7294
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,17,Ordentliche Aufwendungen,808363.39,2010,7295
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,18,Ordentliches Ergebnis,690395.39,2010,7296
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,22,Ergebnis lfd. Verwaltungstätigkeit,690395.39,2010,7297
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,26,Ergebnis vor int.Leistungsbeziehungen,690395.39,2010,7298
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,28,Aufwend. aus int.Leistungsbeziehungen,24139.92,2010,7299
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,Interne,Leistungsbeziehungen,24139.92,2010,7300
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,6,Kostenerstattungen und Kostenumlagen,-36400.00,2010,7302
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,7,Sonstige ordentliche Erträge,-17508.00,2010,7303
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,10,Ordentliche Erträge,-53908.00,2010,7304
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,11,Personalaufwendungen,880479.39,2010,7305
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,12,Versorgungsaufwendungen,171582.57,2010,7306
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,13,Aufwendungen f.Sach-/Dienstleistungen,57240.00,2010,7307
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,14,Bilanzielle Abschreibungen,2857.88,2010,7308
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,16,Sonstige ordentliche Aufwendungen,10793.17,2010,7309
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,17,Ordentliche Aufwendungen,1122953.01,2010,7310
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,18,Ordentliches Ergebnis,1069045.01,2010,7311
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,22,Ergebnis lfd. Verwaltungstätigkeit,1069045.01,2010,7312
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,26,Ergebnis vor int.Leistungsbeziehungen,1069045.01,2010,7313
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,28,Aufwend. aus int.Leistungsbeziehungen,54310.08,2010,7314
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,Interne,Leistungsbeziehungen,54310.08,2010,7315
Innere Verwaltung, Public Relations,2,Zuwendungen und allgemeine Umlagen,-2000.00,2010,7317
Innere Verwaltung, Public Relations,5,Privatrechtliche Leistungsentgelte,-10611.92,2010,7318
Innere Verwaltung, Public Relations,6,Kostenerstattungen und Kostenumlagen,-89025.84,2010,7319
Innere Verwaltung, Public Relations,10,Ordentliche Erträge,-101637.76,2010,7320
Innere Verwaltung, Public Relations,11,Personalaufwendungen,790024.73,2010,7321
Innere Verwaltung, Public Relations,12,Versorgungsaufwendungen,19707.07,2010,7322
Innere Verwaltung, Public Relations,13,Aufwendungen f.Sach-/Dienstleistungen,59818.77,2010,7323
Innere Verwaltung, Public Relations,14,Bilanzielle Abschreibungen,6178.14,2010,7324
Innere Verwaltung, Public Relations,15,Transferaufwendungen,45570.00,2010,7325
Innere Verwaltung, Public Relations,16,Sonstige ordentliche Aufwendungen,337161.88,2010,7326
Innere Verwaltung, Public Relations,17,Ordentliche Aufwendungen,1258460.59,2010,7327
Innere Verwaltung, Public Relations,18,Ordentliches Ergebnis,1156822.83,2010,7328
Innere Verwaltung, Public Relations,22,Ergebnis lfd. Verwaltungstätigkeit,1156822.83,2010,7329
Innere Verwaltung, Public Relations,26,Ergebnis vor int.Leistungsbeziehungen,1156822.83,2010,7330
Innere Verwaltung, Public Relations,28,Aufwend. aus int.Leistungsbeziehungen,72420.00,2010,7331
Innere Verwaltung, Public Relations,Interne,Leistungsbeziehungen,72420.00,2010,7332
Innere Verwaltung, Personal- und Organisationsmanagement,2,Zuwendungen und allgemeine Umlagen,-26000.00,2010,7334
Innere Verwaltung, Personal- und Organisationsmanagement,6,Kostenerstattungen und Kostenumlagen,-925824.73,2010,7335
Innere Verwaltung, Personal- und Organisationsmanagement,7,Sonstige ordentliche Erträge,-294203.28,2010,7336
Innere Verwaltung, Personal- und Organisationsmanagement,10,Ordentliche Erträge,-1246028.01,2010,7337
Innere Verwaltung, Personal- und Organisationsmanagement,11,Personalaufwendungen,4348260.16,2010,7338
Innere Verwaltung, Personal- und Organisationsmanagement,12,Versorgungsaufwendungen,1234455.94,2010,7339
Innere Verwaltung, Personal- und Organisationsmanagement,13,Aufwendungen f.Sach-/Dienstleistungen,276902.36,2010,7340
Innere Verwaltung, Personal- und Organisationsmanagement,14,Bilanzielle Abschreibungen,11445.81,2010,7341
Innere Verwaltung, Personal- und Organisationsmanagement,15,Transferaufwendungen,43252.00,2010,7342
Innere Verwaltung, Personal- und Organisationsmanagement,16,Sonstige ordentliche Aufwendungen,1267506.49,2010,7343
Innere Verwaltung, Personal- und Organisationsmanagement,17,Ordentliche Aufwendungen,7181822.76,2010,7344
Innere Verwaltung, Personal- und Organisationsmanagement,18,Ordentliches Ergebnis,5935794.75,2010,7345
Innere Verwaltung, Personal- und Organisationsmanagement,22,Ergebnis lfd. Verwaltungstätigkeit,5935794.75,2010,7346
Innere Verwaltung, Personal- und Organisationsmanagement,26,Ergebnis vor int.Leistungsbeziehungen,5935794.75,2010,7347
Innere Verwaltung, Personal- und Organisationsmanagement,28,Aufwend. aus int.Leistungsbeziehungen,193130.04,2010,7348
Innere Verwaltung, Personal- und Organisationsmanagement,Interne,Leistungsbeziehungen,193130.04,2010,7349
Innere Verwaltung, Finanz- und Beteiligungsmanagement,2,Zuwendungen und allgemeine Umlagen,0.00,2010,7351
Innere Verwaltung, Finanz- und Beteiligungsmanagement,4,Öffentlich-rechtl. Leistungsentgelte,-134.80,2010,7352
Innere Verwaltung, Finanz- und Beteiligungsmanagement,6,Kostenerstattungen und Kostenumlagen,-369231.90,2010,7353
Innere Verwaltung, Finanz- und Beteiligungsmanagement,7,Sonstige ordentliche Erträge,-2134762.26,2010,7354
Innere Verwaltung, Finanz- und Beteiligungsmanagement,10,Ordentliche Erträge,-2504128.96,2010,7355
Innere Verwaltung, Finanz- und Beteiligungsmanagement,11,Personalaufwendungen,5251987.53,2010,7356
Innere Verwaltung, Finanz- und Beteiligungsmanagement,12,Versorgungsaufwendungen,987434.35,2010,7357
Innere Verwaltung, Finanz- und Beteiligungsmanagement,13,Aufwendungen f.Sach-/Dienstleistungen,687412.78,2010,7358
Innere Verwaltung, Finanz- und Beteiligungsmanagement,14,Bilanzielle Abschreibungen,33995.47,2010,7359
Innere Verwaltung, Finanz- und Beteiligungsmanagement,15,Transferaufwendungen,5705.86,2010,7360
Innere Verwaltung, Finanz- und Beteiligungsmanagement,16,Sonstige ordentliche Aufwendungen,1186748.77,2010,7361
Innere Verwaltung, Finanz- und Beteiligungsmanagement,17,Ordentliche Aufwendungen,8153284.76,2010,7362
Innere Verwaltung, Finanz- und Beteiligungsmanagement,18,Ordentliches Ergebnis,5649155.80,2010,7363
Innere Verwaltung, Finanz- und Beteiligungsmanagement,22,Ergebnis lfd. Verwaltungstätigkeit,5649155.80,2010,7364
Innere Verwaltung, Finanz- und Beteiligungsmanagement,26,Ergebnis vor int.Leistungsbeziehungen,5649155.80,2010,7365
Innere Verwaltung, Finanz- und Beteiligungsmanagement,28,Aufwend. aus int.Leistungsbeziehungen,386250.00,2010,7366
Innere Verwaltung, Finanz- und Beteiligungsmanagement,Interne,Leistungsbeziehungen,386250.00,2010,7367
Innere Verwaltung, Recht,2,Zuwendungen und allgemeine Umlagen,-17491.00,2010,7369
Innere Verwaltung, Recht,4,Öffentlich-rechtl. Leistungsentgelte,-34575.75,2010,7370
Innere Verwaltung, Recht,5,Privatrechtliche Leistungsentgelte,-35705.13,2010,7371
Innere Verwaltung, Recht,6,Kostenerstattungen und Kostenumlagen,-532358.41,2010,7372
Innere Verwaltung, Recht,10,Ordentliche Erträge,-620130.29,2010,7373
Innere Verwaltung, Recht,11,Personalaufwendungen,655497.93,2010,7374
Innere Verwaltung, Recht,12,Versorgungsaufwendungen,140577.20,2010,7375
Innere Verwaltung, Recht,13,Aufwendungen f.Sach-/Dienstleistungen,43200.00,2010,7376
Innere Verwaltung, Recht,14,Bilanzielle Abschreibungen,3556.11,2010,7377
Innere Verwaltung, Recht,16,Sonstige ordentliche Aufwendungen,998783.26,2010,7378
Innere Verwaltung, Recht,17,Ordentliche Aufwendungen,1841614.50,2010,7379
Innere Verwaltung, Recht,18,Ordentliches Ergebnis,1221484.21,2010,7380
Innere Verwaltung, Recht,22,Ergebnis lfd. Verwaltungstätigkeit,1221484.21,2010,7381
Innere Verwaltung, Recht,26,Ergebnis vor int.Leistungsbeziehungen,1221484.21,2010,7382
Innere Verwaltung, Recht,28,Aufwend. aus int.Leistungsbeziehungen,60350.04,2010,7383
Innere Verwaltung, Recht,Interne,Leistungsbeziehungen,60350.04,2010,7384
Innere Verwaltung, Immobilienmanagement,2,Zuwendungen und allgemeine Umlagen,-6766407.74,2010,7386
Innere Verwaltung, Immobilienmanagement,4,Öffentlich-rechtl. Leistungsentgelte,-2450.80,2010,7387
Innere Verwaltung, Immobilienmanagement,5,Privatrechtliche Leistungsentgelte,-13496539.42,2010,7388
Innere Verwaltung, Immobilienmanagement,6,Kostenerstattungen und Kostenumlagen,-672170.40,2010,7389
Innere Verwaltung, Immobilienmanagement,7,Sonstige ordentliche Erträge,-7014958.02,2010,7390
Innere Verwaltung, Immobilienmanagement,8,Aktivierte Eigenleistungen,-334662.00,2010,7391
Innere Verwaltung, Immobilienmanagement,10,Ordentliche Erträge,-28287188.38,2010,7392
Innere Verwaltung, Immobilienmanagement,11,Personalaufwendungen,10647930.69,2010,7393
Innere Verwaltung, Immobilienmanagement,12,Versorgungsaufwendungen,1013661.85,2010,7394
Innere Verwaltung, Immobilienmanagement,13,Aufwendungen f.Sach-/Dienstleistungen,40024135.34,2010,7395
Innere Verwaltung, Immobilienmanagement,14,Bilanzielle Abschreibungen,16645720.00,2010,7396
Innere Verwaltung, Immobilienmanagement,15,Transferaufwendungen,0.00,2010,7397
Innere Verwaltung, Immobilienmanagement,16,Sonstige ordentliche Aufwendungen,13596689.77,2010,7398
Innere Verwaltung, Immobilienmanagement,17,Ordentliche Aufwendungen,81928137.65,2010,7399
Innere Verwaltung, Immobilienmanagement,18,Ordentliches Ergebnis,53640949.27,2010,7400
Innere Verwaltung, Immobilienmanagement,19,Finanzerträge,0.00,2010,7401
Innere Verwaltung, Immobilienmanagement,21,Finanzergebnis,0.00,2010,7402
Innere Verwaltung, Immobilienmanagement,22,Ergebnis lfd. Verwaltungstätigkeit,53640949.27,2010,7403
Innere Verwaltung, Immobilienmanagement,26,Ergebnis vor int.Leistungsbeziehungen,53640949.27,2010,7404
Innere Verwaltung, Immobilienmanagement,28,Aufwend. aus int.Leistungsbeziehungen,-50944722.24,2010,7405
Innere Verwaltung, Immobilienmanagement,Interne,Leistungsbeziehungen,-50944722.24,2010,7406
Innere Verwaltung, Gebäudemanagement,2,Zuwendungen und allgemeine Umlagen,0.00,2010,7408
Innere Verwaltung, Gebäudemanagement,4,Öffentlich-rechtl. Leistungsentgelte,0.00,2010,7409
Innere Verwaltung, Gebäudemanagement,5,Privatrechtliche Leistungsentgelte,0.00,2010,7410
Innere Verwaltung, Gebäudemanagement,6,Kostenerstattungen und Kostenumlagen,0.00,2010,7411
Innere Verwaltung, Gebäudemanagement,7,Sonstige ordentliche Erträge,0.00,2010,7412
Innere Verwaltung, Gebäudemanagement,8,Aktivierte Eigenleistungen,0.00,2010,7413
Innere Verwaltung, Gebäudemanagement,10,Ordentliche Erträge,0.00,2010,7414
Innere Verwaltung, Gebäudemanagement,11,Personalaufwendungen,0.00,2010,7415
Innere Verwaltung, Gebäudemanagement,12,Versorgungsaufwendungen,0.00,2010,7416
Innere Verwaltung, Gebäudemanagement,13,Aufwendungen f.Sach-/Dienstleistungen,0.00,2010,7417
Innere Verwaltung, Gebäudemanagement,14,Bilanzielle Abschreibungen,0.00,2010,7418
Innere Verwaltung, Gebäudemanagement,15,Transferaufwendungen,0.00,2010,7419
Innere Verwaltung, Gebäudemanagement,16,Sonstige ordentliche Aufwendungen,0.00,2010,7420
Innere Verwaltung, Gebäudemanagement,17,Ordentliche Aufwendungen,0.00,2010,7421
Innere Verwaltung, Gebäudemanagement,18,Ordentliches Ergebnis,0.00,2010,7422
Innere Verwaltung, Gebäudemanagement,22,Ergebnis lfd. Verwaltungstätigkeit,0.00,2010,7423
Innere Verwaltung, Gebäudemanagement,26,Ergebnis vor int.Leistungsbeziehungen,0.00,2010,7424
Innere Verwaltung, Gebäudemanagement,28,Aufwend. aus int.Leistungsbeziehungen,0.00,2010,7425
Innere Verwaltung, Gebäudemanagement,Interne,Leistungsbeziehungen,0.00,2010,7426
Innere Verwaltung, Zentrale Dienste,2,Zuwendungen und allgemeine Umlagen,-613.44,2010,7428
Innere Verwaltung, Zentrale Dienste,5,Privatrechtliche Leistungsentgelte,-1078634.11,2010,7429
Innere Verwaltung, Zentrale Dienste,6,Kostenerstattungen und Kostenumlagen,-508964.25,2010,7430
Innere Verwaltung, Zentrale Dienste,7,Sonstige ordentliche Erträge,-8353.16,2010,7431
Innere Verwaltung, Zentrale Dienste,10,Ordentliche Erträge,-1596564.96,2010,7432
Innere Verwaltung, Zentrale Dienste,11,Personalaufwendungen,1829557.71,2010,7433
Innere Verwaltung, Zentrale Dienste,12,Versorgungsaufwendungen,66855.37,2010,7434
Innere Verwaltung, Zentrale Dienste,13,Aufwendungen f.Sach-/Dienstleistungen,488295.99,2010,7435
Innere Verwaltung, Zentrale Dienste,14,Bilanzielle Abschreibungen,120043.99,2010,7436
Innere Verwaltung, Zentrale Dienste,16,Sonstige ordentliche Aufwendungen,423889.38,2010,7437
Innere Verwaltung, Zentrale Dienste,17,Ordentliche Aufwendungen,2928642.44,2010,7438
Innere Verwaltung, Zentrale Dienste,18,Ordentliches Ergebnis,1332077.48,2010,7439
Innere Verwaltung, Zentrale Dienste,22,Ergebnis lfd. Verwaltungstätigkeit,1332077.48,2010,7440
Innere Verwaltung, Zentrale Dienste,26,Ergebnis vor int.Leistungsbeziehungen,1332077.48,2010,7441
Innere Verwaltung, Zentrale Dienste,28,Aufwend. aus int.Leistungsbeziehungen,42249.96,2010,7442
Innere Verwaltung, Zentrale Dienste,Interne,Leistungsbeziehungen,42249.96,2010,7443
Innere Verwaltung, Stiftungsmanagement,6,Kostenerstattungen und Kostenumlagen,-288033.70,2010,7445
Innere Verwaltung, Stiftungsmanagement,10,Ordentliche Erträge,-288033.70,2010,7446
Innere Verwaltung, Stiftungsmanagement,11,Personalaufwendungen,306802.23,2010,7447
Innere Verwaltung, Stiftungsmanagement,12,Versorgungsaufwendungen,26211.34,2010,7448
Innere Verwaltung, Stiftungsmanagement,13,Aufwendungen f.Sach-/Dienstleistungen,267.30,2010,7449
Innere Verwaltung, Stiftungsmanagement,14,Bilanzielle Abschreibungen,1370.33,2010,7450
Innere Verwaltung, Stiftungsmanagement,16,Sonstige ordentliche Aufwendungen,9902.71,2010,7451
Innere Verwaltung, Stiftungsmanagement,17,Ordentliche Aufwendungen,344553.91,2010,7452
Innere Verwaltung, Stiftungsmanagement,18,Ordentliches Ergebnis,56520.21,2010,7453
Innere Verwaltung, Stiftungsmanagement,22,Ergebnis lfd. Verwaltungstätigkeit,56520.21,2010,7454
Innere Verwaltung, Stiftungsmanagement,26,Ergebnis vor int.Leistungsbeziehungen,56520.21,2010,7455
Innere Verwaltung, Stiftungsmanagement,28,Aufwend. aus int.Leistungsbeziehungen,66390.00,2010,7456
Innere Verwaltung, Stiftungsmanagement,Interne,Leistungsbeziehungen,66390.00,2010,7457
Innere Verwaltung, IT-Management,7,Sonstige ordentliche Erträge,-47399.73,2010,7459
Innere Verwaltung, IT-Management,10,Ordentliche Erträge,-47399.73,2010,7460
Innere Verwaltung, IT-Management,16,Sonstige ordentliche Aufwendungen,0.00,2010,7461
Innere Verwaltung, IT-Management,17,Ordentliche Aufwendungen,0.00,2010,7462
Innere Verwaltung, IT-Management,18,Ordentliches Ergebnis,-47399.73,2010,7463
Innere Verwaltung, IT-Management,19,Finanzerträge,-2174655.35,2010,7464
Innere Verwaltung, IT-Management,21,Finanzergebnis,-2174655.35,2010,7465
Innere Verwaltung, IT-Management,22,Ergebnis lfd. Verwaltungstätigkeit,-2222055.08,2010,7466
Innere Verwaltung, IT-Management,26,Ergebnis vor int.Leistungsbeziehungen,-2222055.08,2010,7467
Innere Verwaltung, Migrations- und Integrationsmanagement,2,Zuwendungen und allgemeine Umlagen,-26093.42,2010,7469
Innere Verwaltung, Migrations- und Integrationsmanagement,6,Kostenerstattungen und Kostenumlagen,-123057.89,2010,7470
Innere Verwaltung, Migrations- und Integrationsmanagement,7,Sonstige ordentliche Erträge,0.00,2010,7471
Innere Verwaltung, Migrations- und Integrationsmanagement,10,Ordentliche Erträge,-149151.31,2010,7472
Innere Verwaltung, Migrations- und Integrationsmanagement,11,Personalaufwendungen,432498.39,2010,7473
Innere Verwaltung, Migrations- und Integrationsmanagement,12,Versorgungsaufwendungen,36991.10,2010,7474
Innere Verwaltung, Migrations- und Integrationsmanagement,13,Aufwendungen f.Sach-/Dienstleistungen,19319.43,2010,7475
Innere Verwaltung, Migrations- und Integrationsmanagement,14,Bilanzielle Abschreibungen,1764.91,2010,7476
Innere Verwaltung, Migrations- und Integrationsmanagement,15,Transferaufwendungen,43660.00,2010,7477
Innere Verwaltung, Migrations- und Integrationsmanagement,16,Sonstige ordentliche Aufwendungen,137600.28,2010,7478
Innere Verwaltung, Migrations- und Integrationsmanagement,17,Ordentliche Aufwendungen,671834.11,2010,7479
Innere Verwaltung, Migrations- und Integrationsmanagement,18,Ordentliches Ergebnis,522682.80,2010,7480
Innere Verwaltung, Migrations- und Integrationsmanagement,22,Ergebnis lfd. Verwaltungstätigkeit,522682.80,2010,7481
Innere Verwaltung, Migrations- und Integrationsmanagement,26,Ergebnis vor int.Leistungsbeziehungen,522682.80,2010,7482
Innere Verwaltung, Migrations- und Integrationsmanagement,28,Aufwend. aus int.Leistungsbeziehungen,42249.96,2010,7483
Innere Verwaltung, Migrations- und Integrationsmanagement,Interne,Leistungsbeziehungen,42249.96,2010,7484
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,2,Zuwendungen und allgemeine Umlagen,-21.19,2010,7486
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,4,Öffentlich-rechtl. Leistungsentgelte,-513220.79,2010,7487
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,5,Privatrechtliche Leistungsentgelte,-14546.71,2010,7488
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,6,Kostenerstattungen und Kostenumlagen,-63101.23,2010,7489
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,7,Sonstige ordentliche Erträge,-86451.75,2010,7490
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,10,Ordentliche Erträge,-677341.67,2010,7491
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,11,Personalaufwendungen,1523884.80,2010,7492
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,12,Versorgungsaufwendungen,108135.71,2010,7493
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,13,Aufwendungen f.Sach-/Dienstleistungen,254539.01,2010,7494
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,14,Bilanzielle Abschreibungen,19057.56,2010,7495
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,15,Transferaufwendungen,131731.67,2010,7496
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,16,Sonstige ordentliche Aufwendungen,96789.97,2010,7497
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,17,Ordentliche Aufwendungen,2134138.72,2010,7498
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,18,Ordentliches Ergebnis,1456797.05,2010,7499
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,22,Ergebnis lfd. Verwaltungstätigkeit,1456797.05,2010,7500
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,26,Ergebnis vor int.Leistungsbeziehungen,1456797.05,2010,7501
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,28,Aufwend. aus int.Leistungsbeziehungen,158679.96,2010,7502
Sicherheit und Ordnung, Ordnungsrechtliche Angelegenheiten,Interne,Leistungsbeziehungen,158679.96,2010,7503
Sicherheit und Ordnung, Gewerberechtliche Angelegenheiten,4,Öffentlich-rechtl. Leistungsentgelte,-1288317.45,2010,7505
Sicherheit und Ordnung, Gewerberechtliche Angelegenheiten,6,Kostenerstattungen und Kostenumlagen,0.00,2010,7506
Sicherheit und Ordnung, Gewerberechtliche Angelegenheiten,7,Sonstige ordentliche Erträge,-38828.25,2010,7507
Sicherheit und Ordnung, Gewerberechtliche Angelegenheiten,10,Ordentliche Erträge,-1327145.70,2010,7508
Sicherheit und Ordnung, Gewerberechtliche Angelegenheiten,11,Personalaufwendungen,640586.12,2010,7509
Sicherheit und Ordnung, Gewerberechtliche Angelegenheiten,12,Versorgungsaufwendungen,120357.63,2010,7510
Sicherheit und Ordnung, Gewerberechtliche Angelegenheiten,13,Aufwendungen f.Sach-/Dienstleistungen,322733.16,2010,7511
Sicherheit und Ordnung, Gewerberechtliche Angelegenheiten,14,Bilanzielle Abschreibungen,3245.36,2010,7512
Sicherheit und Ordnung, Gewerberechtliche Angelegenheiten,15,Transferaufwendungen,29978.86,2010,7513
Sicherheit und Ordnung, Gewerberechtliche Angelegenheiten,16,Sonstige ordentliche Aufwendungen,220535.30,2010,7514
Sicherheit und Ordnung, Gewerberechtliche Angelegenheiten,17,Ordentliche Aufwendungen,1337436.43,2010,7515
Sicherheit und Ordnung, Gewerberechtliche Angelegenheiten,18,Ordentliches Ergebnis,10290.73,2010,7516
Sicherheit und Ordnung, Gewerberechtliche Angelegenheiten,22,Ergebnis lfd. Verwaltungstätigkeit,10290.73,2010,7517
Sicherheit und Ordnung, Gewerberechtliche Angelegenheiten,26,Ergebnis vor int.Leistungsbeziehungen,10290.73,2010,7518
Sicherheit und Ordnung, Gewerberechtliche Angelegenheiten,28,Aufwend. aus int.Leistungsbeziehungen,47430.00,2010,7519
Sicherheit und Ordnung, Gewerberechtliche Angelegenheiten,Interne,Leistungsbeziehungen,47430.00,2010,7520
Sicherheit und Ordnung, Straßenverkehrsrechtliche Angelegenheiten,2,Zuwendungen und allgemeine Umlagen,-13917.18,2010,7522
Sicherheit und Ordnung, Straßenverkehrsrechtliche Angelegenheiten,4,Öffentlich-rechtl. Leistungsentgelte,-3164316.28,2010,7523
Sicherheit und Ordnung, Straßenverkehrsrechtliche Angelegenheiten,5,Privatrechtliche Leistungsentgelte,-2150.08,2010,7524
Sicherheit und Ordnung, Straßenverkehrsrechtliche Angelegenheiten,6,Kostenerstattungen und Kostenumlagen,-72120.43,2010,7525
Sicherheit und Ordnung, Straßenverkehrsrechtliche Angelegenheiten,7,Sonstige ordentliche Erträge,-4872294.12,2010,7526
Sicherheit und Ordnung, Straßenverkehrsrechtliche Angelegenheiten,10,Ordentliche Erträge,-8124798.09,2010,7527
Sicherheit und Ordnung, Straßenverkehrsrechtliche Angelegenheiten,11,Personalaufwendungen,4569018.34,2010,7528
Sicherheit und Ordnung, Straßenverkehrsrechtliche Angelegenheiten,12,Versorgungsaufwendungen,685913.36,2010,7529
Sicherheit und Ordnung, Straßenverkehrsrechtliche Angelegenheiten,13,Aufwendungen f.Sach-/Dienstleistungen,825056.92,2010,7530
Sicherheit und Ordnung, Straßenverkehrsrechtliche Angelegenheiten,14,Bilanzielle Abschreibungen,59780.90,2010,7531
Sicherheit und Ordnung, Straßenverkehrsrechtliche Angelegenheiten,16,Sonstige ordentliche Aufwendungen,750981.90,2010,7532
Sicherheit und Ordnung, Straßenverkehrsrechtliche Angelegenheiten,17,Ordentliche Aufwendungen,6890751.42,2010,7533
Sicherheit und Ordnung, Straßenverkehrsrechtliche Angelegenheiten,18,Ordentliches Ergebnis,-1234046.67,2010,7534
Sicherheit und Ordnung, Straßenverkehrsrechtliche Angelegenheiten,22,Ergebnis lfd. Verwaltungstätigkeit,-1234046.67,2010,7535
Sicherheit und Ordnung, Straßenverkehrsrechtliche Angelegenheiten,26,Ergebnis vor int.Leistungsbeziehungen,-1234046.67,2010,7536
Sicherheit und Ordnung, Straßenverkehrsrechtliche Angelegenheiten,28,Aufwend. aus int.Leistungsbeziehungen,442200.00,2010,7537
Sicherheit und Ordnung, Straßenverkehrsrechtliche Angelegenheiten,Interne,Leistungsbeziehungen,442200.00,2010,7538
Sicherheit und Ordnung, Bürgerangelegenheiten,2,Zuwendungen und allgemeine Umlagen,-18.54,2010,7540
Sicherheit und Ordnung, Bürgerangelegenheiten,4,Öffentlich-rechtl. Leistungsentgelte,-1803141.30,2010,7541
Sicherheit und Ordnung, Bürgerangelegenheiten,5,Privatrechtliche Leistungsentgelte,-23812.89,2010,7542
Sicherheit und Ordnung, Bürgerangelegenheiten,6,Kostenerstattungen und Kostenumlagen,-5998.72,2010,7543
Sicherheit und Ordnung, Bürgerangelegenheiten,7,Sonstige ordentliche Erträge,-23942.24,2010,7544
Sicherheit und Ordnung, Bürgerangelegenheiten,10,Ordentliche Erträge,-1856913.69,2010,7545
